episode - 0/10000, accumulative_reward = 0
episode - 1/10000, accumulative_reward = -435
episode - 2/10000, accumulative_reward = -640
episode - 3/10000, accumulative_reward = -960
episode - 4/10000, accumulative_reward = -1450
episode - 5/10000, accumulative_reward = -2135
episode - 6/10000, accumulative_reward = -2920
episode - 7/10000, accumulative_reward = -3210
episode - 8/10000, accumulative_reward = -3380
episode - 9/10000, accumulative_reward = -3715
episode - 10/10000, accumulative_reward = -4175
episode - 11/10000, accumulative_reward = -4445
episode - 12/10000, accumulative_reward = -4870
episode - 13/10000, accumulative_reward = -5215
episode - 14/10000, accumulative_reward = -5610
episode - 15/10000, accumulative_reward = -5855
episode - 16/10000, accumulative_reward = -6285
episode - 17/10000, accumulative_reward = -6985
episode - 18/10000, accumulative_reward = -7060
episode - 19/10000, accumulative_reward = -7710
episode - 20/10000, accumulative_reward = -8120
episode - 21/10000, accumulative_reward = -8595
episode - 22/10000, accumulative_reward = -8615
episode - 23/10000, accumulative_reward = -9020
episode - 24/10000, accumulative_reward = -9435
episode - 25/10000, accumulative_reward = -10190
episode - 26/10000, accumulative_reward = -10420
episode - 27/10000, accumulative_reward = -11160
episode - 28/10000, accumulative_reward = -11290
episode - 29/10000, accumulative_reward = -11725
episode - 30/10000, accumulative_reward = -11715
episode - 31/10000, accumulative_reward = -12420
episode - 32/10000, accumulative_reward = -12545
episode - 33/10000, accumulative_reward = -12545
episode - 34/10000, accumulative_reward = -12485
episode - 35/10000, accumulative_reward = -12670
episode - 36/10000, accumulative_reward = -12755
episode - 37/10000, accumulative_reward = -13250
episode - 38/10000, accumulative_reward = -13375
episode - 39/10000, accumulative_reward = -13355
episode - 40/10000, accumulative_reward = -13930
episode - 41/10000, accumulative_reward = -14000
episode - 42/10000, accumulative_reward = -14170
episode - 43/10000, accumulative_reward = -14555
episode - 44/10000, accumulative_reward = -14770
episode - 45/10000, accumulative_reward = -15040
episode - 46/10000, accumulative_reward = -15440
episode - 47/10000, accumulative_reward = -16045
episode - 48/10000, accumulative_reward = -17035
episode - 49/10000, accumulative_reward = -17325
episode - 50/10000, accumulative_reward = -17320
episode - 51/10000, accumulative_reward = -17950
episode - 52/10000, accumulative_reward = -17835
episode - 53/10000, accumulative_reward = -18465
episode - 54/10000, accumulative_reward = -18515
episode - 55/10000, accumulative_reward = -18670
episode - 56/10000, accumulative_reward = -19165
episode - 57/10000, accumulative_reward = -19240
episode - 58/10000, accumulative_reward = -19340
episode - 59/10000, accumulative_reward = -19425
episode - 60/10000, accumulative_reward = -19460
episode - 61/10000, accumulative_reward = -19765
episode - 62/10000, accumulative_reward = -20140
episode - 63/10000, accumulative_reward = -19970
episode - 64/10000, accumulative_reward = -19710
episode - 65/10000, accumulative_reward = -19815
episode - 66/10000, accumulative_reward = -19695
episode - 67/10000, accumulative_reward = -19815
episode - 68/10000, accumulative_reward = -19815
episode - 69/10000, accumulative_reward = -19975
episode - 70/10000, accumulative_reward = -20265
episode - 71/10000, accumulative_reward = -20435
episode - 72/10000, accumulative_reward = -20580
episode - 73/10000, accumulative_reward = -20670
episode - 74/10000, accumulative_reward = -20960
episode - 75/10000, accumulative_reward = -21115
episode - 76/10000, accumulative_reward = -21345
episode - 77/10000, accumulative_reward = -21230
episode - 78/10000, accumulative_reward = -21350
episode - 79/10000, accumulative_reward = -21465
episode - 80/10000, accumulative_reward = -21505
episode - 81/10000, accumulative_reward = -21645
episode - 82/10000, accumulative_reward = -21870
episode - 83/10000, accumulative_reward = -22060
episode - 84/10000, accumulative_reward = -22390
episode - 85/10000, accumulative_reward = -22420
episode - 86/10000, accumulative_reward = -22500
episode - 87/10000, accumulative_reward = -22450
episode - 88/10000, accumulative_reward = -22445
episode - 89/10000, accumulative_reward = -22510
episode - 90/10000, accumulative_reward = -22625
episode - 91/10000, accumulative_reward = -22715
episode - 92/10000, accumulative_reward = -22585
episode - 93/10000, accumulative_reward = -22640
episode - 94/10000, accumulative_reward = -22845
episode - 95/10000, accumulative_reward = -23150
episode - 96/10000, accumulative_reward = -23455
episode - 97/10000, accumulative_reward = -23625
episode - 98/10000, accumulative_reward = -23645
episode - 99/10000, accumulative_reward = -23695
episode - 100/10000, accumulative_reward = -24060
episode - 101/10000, accumulative_reward = -24105
episode - 102/10000, accumulative_reward = -24280
episode - 103/10000, accumulative_reward = -24390
episode - 104/10000, accumulative_reward = -24435
episode - 105/10000, accumulative_reward = -24410
episode - 106/10000, accumulative_reward = -24520
episode - 107/10000, accumulative_reward = -24665
episode - 108/10000, accumulative_reward = -24720
episode - 109/10000, accumulative_reward = -25000
episode - 110/10000, accumulative_reward = -25080
episode - 111/10000, accumulative_reward = -25380
episode - 112/10000, accumulative_reward = -25385
episode - 113/10000, accumulative_reward = -25615
episode - 114/10000, accumulative_reward = -25655
episode - 115/10000, accumulative_reward = -25575
episode - 116/10000, accumulative_reward = -25575
episode - 117/10000, accumulative_reward = -25575
episode - 118/10000, accumulative_reward = -25535
episode - 119/10000, accumulative_reward = -25730
episode - 120/10000, accumulative_reward = -25725
episode - 121/10000, accumulative_reward = -25770
episode - 122/10000, accumulative_reward = -25860
episode - 123/10000, accumulative_reward = -26025
episode - 124/10000, accumulative_reward = -26060
episode - 125/10000, accumulative_reward = -26055
episode - 126/10000, accumulative_reward = -26020
episode - 127/10000, accumulative_reward = -26000
episode - 128/10000, accumulative_reward = -26000
episode - 129/10000, accumulative_reward = -26000
episode - 130/10000, accumulative_reward = -26075
episode - 131/10000, accumulative_reward = -26055
episode - 132/10000, accumulative_reward = -26055
episode - 133/10000, accumulative_reward = -25985
episode - 134/10000, accumulative_reward = -26010
episode - 135/10000, accumulative_reward = -26170
episode - 136/10000, accumulative_reward = -26270
episode - 137/10000, accumulative_reward = -26265
episode - 138/10000, accumulative_reward = -26265
episode - 139/10000, accumulative_reward = -26300
episode - 140/10000, accumulative_reward = -26325
episode - 141/10000, accumulative_reward = -26525
episode - 142/10000, accumulative_reward = -26650
episode - 143/10000, accumulative_reward = -26740
episode - 144/10000, accumulative_reward = -26650
episode - 145/10000, accumulative_reward = -26650
episode - 146/10000, accumulative_reward = -26700
episode - 147/10000, accumulative_reward = -26905
episode - 148/10000, accumulative_reward = -26955
episode - 149/10000, accumulative_reward = -27075
episode - 150/10000, accumulative_reward = -27075
episode - 151/10000, accumulative_reward = -27075
episode - 152/10000, accumulative_reward = -27115
episode - 153/10000, accumulative_reward = -27260
episode - 154/10000, accumulative_reward = -27320
episode - 155/10000, accumulative_reward = -27540
episode - 156/10000, accumulative_reward = -27790
episode - 157/10000, accumulative_reward = -27880
episode - 158/10000, accumulative_reward = -27880
episode - 159/10000, accumulative_reward = -27905
episode - 160/10000, accumulative_reward = -28025
episode - 161/10000, accumulative_reward = -28025
episode - 162/10000, accumulative_reward = -27970
episode - 163/10000, accumulative_reward = -27970
episode - 164/10000, accumulative_reward = -27990
episode - 165/10000, accumulative_reward = -28080
episode - 166/10000, accumulative_reward = -28185
episode - 167/10000, accumulative_reward = -28235
episode - 168/10000, accumulative_reward = -28235
episode - 169/10000, accumulative_reward = -28235
episode - 170/10000, accumulative_reward = -28235
episode - 171/10000, accumulative_reward = -28275
episode - 172/10000, accumulative_reward = -28345
episode - 173/10000, accumulative_reward = -28395
episode - 174/10000, accumulative_reward = -28495
episode - 175/10000, accumulative_reward = -28580
episode - 176/10000, accumulative_reward = -28905
episode - 177/10000, accumulative_reward = -28940
episode - 178/10000, accumulative_reward = -29020
episode - 179/10000, accumulative_reward = -29195
episode - 180/10000, accumulative_reward = -29430
episode - 181/10000, accumulative_reward = -29645
episode - 182/10000, accumulative_reward = -29825
episode - 183/10000, accumulative_reward = -29825
episode - 184/10000, accumulative_reward = -29640
episode - 185/10000, accumulative_reward = -29640
episode - 186/10000, accumulative_reward = -29810
episode - 187/10000, accumulative_reward = -29940
episode - 188/10000, accumulative_reward = -29965
episode - 189/10000, accumulative_reward = -29965
episode - 190/10000, accumulative_reward = -30015
episode - 191/10000, accumulative_reward = -30200
episode - 192/10000, accumulative_reward = -30200
episode - 193/10000, accumulative_reward = -30250
episode - 194/10000, accumulative_reward = -30355
episode - 195/10000, accumulative_reward = -30355
episode - 196/10000, accumulative_reward = -30135
episode - 197/10000, accumulative_reward = -30095
episode - 198/10000, accumulative_reward = -30240
episode - 199/10000, accumulative_reward = -30550
episode - 200/10000, accumulative_reward = -30600
episode - 201/10000, accumulative_reward = -30680
episode - 202/10000, accumulative_reward = -30615
episode - 203/10000, accumulative_reward = -30750
episode - 204/10000, accumulative_reward = -30860
episode - 205/10000, accumulative_reward = -30945
episode - 206/10000, accumulative_reward = -30945
episode - 207/10000, accumulative_reward = -30945
episode - 208/10000, accumulative_reward = -30975
episode - 209/10000, accumulative_reward = -31025
episode - 210/10000, accumulative_reward = -31105
episode - 211/10000, accumulative_reward = -31105
episode - 212/10000, accumulative_reward = -31120
episode - 213/10000, accumulative_reward = -31150
episode - 214/10000, accumulative_reward = -31120
episode - 215/10000, accumulative_reward = -31120
episode - 216/10000, accumulative_reward = -31170
episode - 217/10000, accumulative_reward = -31200
episode - 218/10000, accumulative_reward = -31220
episode - 219/10000, accumulative_reward = -31485
episode - 220/10000, accumulative_reward = -31745
episode - 221/10000, accumulative_reward = -31845
episode - 222/10000, accumulative_reward = -31805
episode - 223/10000, accumulative_reward = -31885
episode - 224/10000, accumulative_reward = -31895
episode - 225/10000, accumulative_reward = -32145
episode - 226/10000, accumulative_reward = -32145
episode - 227/10000, accumulative_reward = -32165
episode - 228/10000, accumulative_reward = -32195
episode - 229/10000, accumulative_reward = -32150
episode - 230/10000, accumulative_reward = -32270
episode - 231/10000, accumulative_reward = -32470
episode - 232/10000, accumulative_reward = -32590
episode - 233/10000, accumulative_reward = -32590
episode - 234/10000, accumulative_reward = -32590
episode - 235/10000, accumulative_reward = -32590
episode - 236/10000, accumulative_reward = -32625
episode - 237/10000, accumulative_reward = -32625
episode - 238/10000, accumulative_reward = -32645
episode - 239/10000, accumulative_reward = -32735
