episode - 0/10000, epsilon = 0.9831353223738244
episode - 1/10000, epsilon = 0.9714023696327185
episode - 2/10000, epsilon = 0.9550199818235596
episode - 3/10000, epsilon = 0.9389138777035492
episode - 4/10000, epsilon = 0.9230793978373364
episode - 5/10000, epsilon = 0.9075119613694457
episode - 6/10000, epsilon = 0.8931001648639156
episode - 7/10000, epsilon = 0.8780383184956015
episode - 8/10000, epsilon = 0.8632304853107438
episode - 9/10000, epsilon = 0.8486723814588909
episode - 10/10000, epsilon = 0.8343597953353479
episode - 11/10000, epsilon = 0.8202885863627752
episode - 12/10000, epsilon = 0.8064546837933355
episode - 13/10000, epsilon = 0.7928540855310416
episode - 14/10000, epsilon = 0.7794828569739644
episode - 15/10000, epsilon = 0.766337129875968
episode - 16/10000, epsilon = 0.7534131012276413
episode - 17/10000, epsilon = 0.7407070321560997
episode - 18/10000, epsilon = 0.7282152468433455
episode - 19/10000, epsilon = 0.7159341314628666
episode - 20/10000, epsilon = 0.7038601331341691
episode - 21/10000, epsilon = 0.6919897588949444
episode - 22/10000, epsilon = 0.680319574690566
episode - 23/10000, epsilon = 0.6688462043806328
episode - 24/10000, epsilon = 0.6575663287622622
episode - 25/10000, epsilon = 0.6464766846098587
episode - 26/10000, epsilon = 0.6355740637310745
episode - 27/10000, epsilon = 0.6292468477910546
episode - 28/10000, epsilon = 0.6186348025557711
episode - 29/10000, epsilon = 0.6082017260423355
episode - 30/10000, epsilon = 0.5979446000009478
episode - 31/10000, epsilon = 0.5878604570836192
episode - 32/10000, epsilon = 0.5779463799857277
episode - 33/10000, epsilon = 0.5681995006020529
episode - 34/10000, epsilon = 0.5586169991970452
episode - 35/10000, epsilon = 0.5491961035890855
episode - 36/10000, epsilon = 0.539934088348504
episode - 37/10000, epsilon = 0.5308282740091232
episode - 38/10000, epsilon = 0.5218760262931003
episode - 39/10000, epsilon = 0.5130747553488376
episode - 40/10000, epsilon = 0.5105145071914643
episode - 41/10000, epsilon = 0.5019048446041944
episode - 42/10000, epsilon = 0.4934403812009287
episode - 43/10000, epsilon = 0.48803959497362914
episode - 44/10000, epsilon = 0.47980896453558947
episode - 45/10000, epsilon = 0.47171714102654755
episode - 46/10000, epsilon = 0.4637617835123936
episode - 47/10000, epsilon = 0.45594059053811675
episode - 48/10000, epsilon = 0.4482512994620033
episode - 49/10000, epsilon = 0.4406916858010624
episode - 50/10000, epsilon = 0.43325956258749154
episode - 51/10000, epsilon = 0.42595277973599555
episode - 52/10000, epsilon = 0.41876922342177453
episode - 53/10000, epsilon = 0.4166795608113011
episode - 54/10000, epsilon = 0.40965239434480205
episode - 55/10000, epsilon = 0.402743738775386
episode - 56/10000, epsilon = 0.3959515954549783
episode - 57/10000, epsilon = 0.3896636631051653
episode - 58/10000, epsilon = 0.38347558663089293
episode - 59/10000, epsilon = 0.3804184978064605
episode - 60/10000, epsilon = 0.37400286247792053
episode - 61/10000, epsilon = 0.3691698907910935
episode - 62/10000, epsilon = 0.36294395959361136
episode - 63/10000, epsilon = 0.3571802069256231
episode - 64/10000, epsilon = 0.3525646223931159
episode - 65/10000, epsilon = 0.34731301240586104
episode - 66/10000, epsilon = 0.3441996694320795
episode - 67/10000, epsilon = 0.34111423472584396
episode - 68/10000, epsilon = 0.33636955301023425
episode - 69/10000, epsilon = 0.3306967889354559
episode - 70/10000, epsilon = 0.3251196941980479
episode - 71/10000, epsilon = 0.32285067248442284
episode - 72/10000, epsilon = 0.31931701871011153
episode - 73/10000, epsilon = 0.31393184012901404
episode - 74/10000, epsilon = 0.30863748084864606
episode - 75/10000, epsilon = 0.3034324092307786
episode - 76/10000, epsilon = 0.2986137332009687
episode - 77/10000, epsilon = 0.29564099771593877
episode - 78/10000, epsilon = 0.29152881976073036
episode - 79/10000, epsilon = 0.2894942299343089
episode - 80/10000, epsilon = 0.2846120030718288
episode - 81/10000, epsilon = 0.2812153809531867
episode - 82/10000, epsilon = 0.2764727742098891
episode - 83/10000, epsilon = 0.2718101500004249
episode - 84/10000, epsilon = 0.26910424739696437
episode - 85/10000, epsilon = 0.26642528237806207
episode - 86/10000, epsilon = 0.2619321058792933
episode - 87/10000, epsilon = 0.25906521584796366
episode - 88/10000, epsilon = 0.2569999334576916
episode - 89/10000, epsilon = 0.25546178371980216
episode - 90/10000, epsilon = 0.2524130467175491
episode - 91/10000, epsilon = 0.2481561820560168
episode - 92/10000, epsilon = 0.24568575753695765
episode - 93/10000, epsilon = 0.24154234643875414
episode - 94/10000, epsilon = 0.2374688126329945
episode - 95/10000, epsilon = 0.23346397766166824
episode - 96/10000, epsilon = 0.2295266829410795
episode - 97/10000, epsilon = 0.22724171731734197
episode - 98/10000, epsilon = 0.22610777887664724
episode - 99/10000, epsilon = 0.2222945440771219
episode - 100/10000, epsilon = 0.21964163219316574
episode - 101/10000, epsilon = 0.21593744687294092
episode - 102/10000, epsilon = 0.21314704158045672
episode - 103/10000, epsilon = 0.21123637362220768
episode - 104/10000, epsilon = 0.20767394027814676
episode - 105/10000, epsilon = 0.20663764524045758
episode - 106/10000, epsilon = 0.20437596218618437
episode - 107/10000, epsilon = 0.20092922746937492
episode - 108/10000, epsilon = 0.19873002398761402
episode - 109/10000, epsilon = 0.19537850619842073
episode - 110/10000, epsilon = 0.1930468162187352
episode - 111/10000, epsilon = 0.18979114389644663
episode - 112/10000, epsilon = 0.18696411871163446
episode - 113/10000, epsilon = 0.18381102912190073
episode - 114/10000, epsilon = 0.1814357705648218
episode - 115/10000, epsilon = 0.17962955573461234
episode - 116/10000, epsilon = 0.17801934133073533
episode - 117/10000, epsilon = 0.17607089032534334
episode - 118/10000, epsilon = 0.17449257609667496
episode - 119/10000, epsilon = 0.17275548159912293
episode - 120/10000, epsilon = 0.1712068869723534
episode - 121/10000, epsilon = 0.1693329994017239
episode - 122/10000, epsilon = 0.16764726910823713
episode - 123/10000, epsilon = 0.16597832046175603
episode - 124/10000, epsilon = 0.16399749875216288
episode - 125/10000, epsilon = 0.16171639801076318
episode - 126/10000, epsilon = 0.160106491896518
episode - 127/10000, epsilon = 0.15867128387436555
episode - 128/10000, epsilon = 0.1572489411773005
episode - 129/10000, epsilon = 0.15583934847946967
episode - 130/10000, epsilon = 0.15428794909732177
episode - 131/10000, epsilon = 0.1529048989808465
episode - 132/10000, epsilon = 0.15032620715207148
episode - 133/10000, epsilon = 0.14779100412968604
episode - 134/10000, epsilon = 0.14529855648899012
episode - 135/10000, epsilon = 0.14370823986183776
episode - 136/10000, epsilon = 0.14128464672434274
episode - 137/10000, epsilon = 0.1400181593009795
episode - 138/10000, epsilon = 0.13876302477710473
episode - 139/10000, epsilon = 0.13793252530063388
episode - 140/10000, epsilon = 0.1364228310978058
episode - 141/10000, epsilon = 0.13412210403049113
episode - 142/10000, epsilon = 0.13278690241834698
episode - 143/10000, epsilon = 0.13120219437739233
episode - 144/10000, epsilon = 0.130026086902524
episode - 145/10000, epsilon = 0.12886052215370544
episode - 146/10000, epsilon = 0.12668733098884255
episode - 147/10000, epsilon = 0.12605515994096825
episode - 148/10000, epsilon = 0.12455078999239512
episode - 149/10000, epsilon = 0.12343430626431463
episode - 150/10000, epsilon = 0.12220550295922675
episode - 151/10000, epsilon = 0.1209889325382397
episode - 152/10000, epsilon = 0.11966468874830531
episode - 153/10000, epsilon = 0.1176465823493285
episode - 154/10000, epsilon = 0.11601019332960474
episode - 155/10000, epsilon = 0.11416788670445512
episode - 156/10000, epsilon = 0.11291830038439628
episode - 157/10000, epsilon = 0.11190609126882678
episode - 158/10000, epsilon = 0.11123633107613895
episode - 159/10000, epsilon = 0.1102391992745224
episode - 160/10000, epsilon = 0.10881465689176537
episode - 161/10000, epsilon = 0.10697953278228281
episode - 162/10000, epsilon = 0.10602055927760762
episode - 163/10000, epsilon = 0.10423255672364393
episode - 164/10000, epsilon = 0.10319490913541582
episode - 165/10000, epsilon = 0.10216759145322861
episode - 166/10000, epsilon = 0.1004445679595271
episode - 167/10000, epsilon = 0.09954417442763754
episode - 168/10000, epsilon = 0.09865185209888758
episode - 169/10000, epsilon = 0.0977675286223353
episode - 170/10000, epsilon = 0.09708520562163633
episode - 171/10000, epsilon = 0.0960225920590419
episode - 172/10000, epsilon = 0.09554343836492137
episode - 173/10000, epsilon = 0.09497160897687112
episode - 174/10000, epsilon = 0.09412027550834177
episode - 175/10000, epsilon = 0.09253296740380676
episode - 176/10000, epsilon = 0.09097242873874815
