episode - 0/10000, loss = 14091.98828125
episode - 1/10000, loss = 2095.415283203125
episode - 2/10000, loss = 14865.0107421875
episode - 3/10000, loss = 18676.21484375
episode - 4/10000, loss = 12505.80078125
episode - 5/10000, loss = 9754.953125
episode - 6/10000, loss = 13.72093391418457
episode - 7/10000, loss = 216.55043029785156
episode - 8/10000, loss = 1004.1184692382812
episode - 9/10000, loss = 38.267879486083984
episode - 10/10000, loss = 9.122361183166504
episode - 11/10000, loss = 86.26273345947266
episode - 12/10000, loss = 258.7259826660156
episode - 13/10000, loss = 566.2876586914062
episode - 14/10000, loss = 1.244462490081787
episode - 15/10000, loss = 7.9867730140686035
episode - 16/10000, loss = 0.08556267619132996
episode - 17/10000, loss = 234.81695556640625
episode - 18/10000, loss = 1361.62646484375
episode - 19/10000, loss = 86.23963165283203
episode - 20/10000, loss = 52.037017822265625
episode - 21/10000, loss = 3428.512939453125
episode - 22/10000, loss = 1.4552489519119263
episode - 23/10000, loss = 150.14102172851562
episode - 24/10000, loss = 237.34596252441406
episode - 25/10000, loss = 32.433109283447266
episode - 26/10000, loss = 429.6296081542969
episode - 27/10000, loss = 109.24373626708984
episode - 28/10000, loss = 1061.7587890625
episode - 29/10000, loss = 10.972049713134766
episode - 30/10000, loss = 780.1535034179688
episode - 31/10000, loss = 202.33473205566406
episode - 32/10000, loss = 380.50146484375
episode - 33/10000, loss = 19.575790405273438
episode - 34/10000, loss = 277.9506530761719
episode - 35/10000, loss = 1019.6988525390625
episode - 36/10000, loss = 220.5770721435547
episode - 37/10000, loss = 129.45346069335938
episode - 38/10000, loss = 66.48633575439453
episode - 39/10000, loss = 543.9512329101562
episode - 40/10000, loss = 78.25577545166016
episode - 41/10000, loss = 59.79518508911133
episode - 42/10000, loss = 6.642480373382568
episode - 43/10000, loss = 5.833850860595703
episode - 44/10000, loss = 379.99951171875
episode - 45/10000, loss = 24.785770416259766
episode - 46/10000, loss = 478.64813232421875
episode - 47/10000, loss = 53.998817443847656
episode - 48/10000, loss = 187.4337158203125
episode - 49/10000, loss = 15.288724899291992
episode - 50/10000, loss = 306.90509033203125
episode - 51/10000, loss = 264.1907043457031
episode - 52/10000, loss = 0.4700582027435303
episode - 53/10000, loss = 4782.71435546875
episode - 54/10000, loss = 223.96893310546875
episode - 55/10000, loss = 255.09625244140625
episode - 56/10000, loss = 15.438246726989746
episode - 57/10000, loss = 269.4324645996094
episode - 58/10000, loss = 63.6425895690918
episode - 59/10000, loss = 571.0182495117188
episode - 60/10000, loss = 4.082544326782227
episode - 61/10000, loss = 948.37939453125
episode - 62/10000, loss = 143.1479949951172
episode - 63/10000, loss = 147.4307098388672
episode - 64/10000, loss = 129.73486328125
episode - 65/10000, loss = 120.55293273925781
episode - 66/10000, loss = 162.29354858398438
episode - 67/10000, loss = 211.44712829589844
episode - 68/10000, loss = 4.571633338928223
episode - 69/10000, loss = 9.623807907104492
episode - 70/10000, loss = 129.91741943359375
episode - 71/10000, loss = 369.3307189941406
episode - 72/10000, loss = 38.5462760925293
episode - 73/10000, loss = 0.09421104192733765
episode - 74/10000, loss = 340.2546081542969
episode - 75/10000, loss = 784.9111328125
episode - 76/10000, loss = 299.1982421875
episode - 77/10000, loss = 0.414634108543396
episode - 78/10000, loss = 434.4673156738281
episode - 79/10000, loss = 81.1597900390625
episode - 80/10000, loss = 189.1151580810547
episode - 81/10000, loss = 187.71542358398438
episode - 82/10000, loss = 263.6156311035156
episode - 83/10000, loss = 126.44390869140625
episode - 84/10000, loss = 510.0608215332031
episode - 85/10000, loss = 280.7181701660156
episode - 86/10000, loss = 174.37388610839844
episode - 87/10000, loss = 797.7530517578125
episode - 88/10000, loss = 80.23455810546875
episode - 89/10000, loss = 347.5110168457031
episode - 90/10000, loss = 1499.1522216796875
episode - 91/10000, loss = 3.336352825164795
episode - 92/10000, loss = 0.01569565199315548
episode - 93/10000, loss = 152.60482788085938
episode - 94/10000, loss = 526.5703735351562
episode - 95/10000, loss = 148.14097595214844
episode - 96/10000, loss = 626.8388671875
episode - 97/10000, loss = 98.48130798339844
episode - 98/10000, loss = 0.283655047416687
episode - 99/10000, loss = 413.163818359375
episode - 100/10000, loss = 17.176822662353516
episode - 101/10000, loss = 1827.687744140625
episode - 102/10000, loss = 48.07567596435547
episode - 103/10000, loss = 23.57268714904785
episode - 104/10000, loss = 351.2492980957031
episode - 105/10000, loss = 660.939697265625
episode - 106/10000, loss = 1252.8895263671875
episode - 107/10000, loss = 19.041685104370117
episode - 108/10000, loss = 33.094181060791016
episode - 109/10000, loss = 1.1677721738815308
episode - 110/10000, loss = 266.6627197265625
episode - 111/10000, loss = 18.531517028808594
episode - 112/10000, loss = 465.6342468261719
episode - 113/10000, loss = 676.1805419921875
episode - 114/10000, loss = 242.4263153076172
episode - 115/10000, loss = 19.383115768432617
episode - 116/10000, loss = 89.93991088867188
episode - 117/10000, loss = 1072.2127685546875
episode - 118/10000, loss = 166.82208251953125
episode - 119/10000, loss = 154.09341430664062
episode - 120/10000, loss = 149.7462158203125
episode - 121/10000, loss = 50.960853576660156
episode - 122/10000, loss = 66.62998962402344
episode - 123/10000, loss = 24.00448226928711
episode - 124/10000, loss = 704.753173828125
episode - 125/10000, loss = 150.45472717285156
episode - 126/10000, loss = 900.5187377929688
episode - 127/10000, loss = 5.973621845245361
episode - 128/10000, loss = 168.64947509765625
episode - 129/10000, loss = 498.8013916015625
episode - 130/10000, loss = 182.46470642089844
episode - 131/10000, loss = 108.6287612915039
episode - 132/10000, loss = 82.28828430175781
