episode - 0/10000, reward_per_episode = 0
episode - 1/10000, reward_per_episode = -435
episode - 2/10000, reward_per_episode = -205
episode - 3/10000, reward_per_episode = -320
episode - 4/10000, reward_per_episode = -490
episode - 5/10000, reward_per_episode = -685
episode - 6/10000, reward_per_episode = -785
episode - 7/10000, reward_per_episode = -290
episode - 8/10000, reward_per_episode = -170
episode - 9/10000, reward_per_episode = -335
episode - 10/10000, reward_per_episode = -460
episode - 11/10000, reward_per_episode = -270
episode - 12/10000, reward_per_episode = -425
episode - 13/10000, reward_per_episode = -345
episode - 14/10000, reward_per_episode = -395
episode - 15/10000, reward_per_episode = -245
episode - 16/10000, reward_per_episode = -430
episode - 17/10000, reward_per_episode = -700
episode - 18/10000, reward_per_episode = -75
episode - 19/10000, reward_per_episode = -650
episode - 20/10000, reward_per_episode = -410
episode - 21/10000, reward_per_episode = -475
episode - 22/10000, reward_per_episode = -20
episode - 23/10000, reward_per_episode = -405
episode - 24/10000, reward_per_episode = -415
episode - 25/10000, reward_per_episode = -755
episode - 26/10000, reward_per_episode = -230
episode - 27/10000, reward_per_episode = -740
episode - 28/10000, reward_per_episode = -130
episode - 29/10000, reward_per_episode = -435
episode - 30/10000, reward_per_episode = 10
episode - 31/10000, reward_per_episode = -705
episode - 32/10000, reward_per_episode = -125
episode - 33/10000, reward_per_episode = 0
episode - 34/10000, reward_per_episode = 60
episode - 35/10000, reward_per_episode = -185
episode - 36/10000, reward_per_episode = -85
episode - 37/10000, reward_per_episode = -495
episode - 38/10000, reward_per_episode = -125
episode - 39/10000, reward_per_episode = 20
episode - 40/10000, reward_per_episode = -575
episode - 41/10000, reward_per_episode = -70
episode - 42/10000, reward_per_episode = -170
episode - 43/10000, reward_per_episode = -385
episode - 44/10000, reward_per_episode = -215
episode - 45/10000, reward_per_episode = -270
episode - 46/10000, reward_per_episode = -400
episode - 47/10000, reward_per_episode = -605
episode - 48/10000, reward_per_episode = -990
episode - 49/10000, reward_per_episode = -290
episode - 50/10000, reward_per_episode = 5
episode - 51/10000, reward_per_episode = -630
episode - 52/10000, reward_per_episode = 115
episode - 53/10000, reward_per_episode = -630
episode - 54/10000, reward_per_episode = -50
episode - 55/10000, reward_per_episode = -155
episode - 56/10000, reward_per_episode = -495
episode - 57/10000, reward_per_episode = -75
episode - 58/10000, reward_per_episode = -100
episode - 59/10000, reward_per_episode = -85
episode - 60/10000, reward_per_episode = -35
episode - 61/10000, reward_per_episode = -305
episode - 62/10000, reward_per_episode = -375
episode - 63/10000, reward_per_episode = 170
episode - 64/10000, reward_per_episode = 260
episode - 65/10000, reward_per_episode = -105
episode - 66/10000, reward_per_episode = 120
episode - 67/10000, reward_per_episode = -120
episode - 68/10000, reward_per_episode = 0
episode - 69/10000, reward_per_episode = -160
episode - 70/10000, reward_per_episode = -290
episode - 71/10000, reward_per_episode = -170
episode - 72/10000, reward_per_episode = -145
episode - 73/10000, reward_per_episode = -90
episode - 74/10000, reward_per_episode = -290
episode - 75/10000, reward_per_episode = -155
episode - 76/10000, reward_per_episode = -230
episode - 77/10000, reward_per_episode = 115
episode - 78/10000, reward_per_episode = -120
episode - 79/10000, reward_per_episode = -115
episode - 80/10000, reward_per_episode = -40
episode - 81/10000, reward_per_episode = -140
episode - 82/10000, reward_per_episode = -225
episode - 83/10000, reward_per_episode = -190
episode - 84/10000, reward_per_episode = -330
episode - 85/10000, reward_per_episode = -30
episode - 86/10000, reward_per_episode = -80
episode - 87/10000, reward_per_episode = 50
episode - 88/10000, reward_per_episode = 5
episode - 89/10000, reward_per_episode = -65
episode - 90/10000, reward_per_episode = -115
episode - 91/10000, reward_per_episode = -90
episode - 92/10000, reward_per_episode = 130
episode - 93/10000, reward_per_episode = -55
episode - 94/10000, reward_per_episode = -205
episode - 95/10000, reward_per_episode = -305
episode - 96/10000, reward_per_episode = -305
episode - 97/10000, reward_per_episode = -170
episode - 98/10000, reward_per_episode = -20
episode - 99/10000, reward_per_episode = -50
episode - 100/10000, reward_per_episode = -365
episode - 101/10000, reward_per_episode = -45
episode - 102/10000, reward_per_episode = -175
episode - 103/10000, reward_per_episode = -110
episode - 104/10000, reward_per_episode = -45
episode - 105/10000, reward_per_episode = 25
episode - 106/10000, reward_per_episode = -110
episode - 107/10000, reward_per_episode = -145
episode - 108/10000, reward_per_episode = -55
episode - 109/10000, reward_per_episode = -280
episode - 110/10000, reward_per_episode = -80
episode - 111/10000, reward_per_episode = -300
episode - 112/10000, reward_per_episode = -5
episode - 113/10000, reward_per_episode = -230
episode - 114/10000, reward_per_episode = -40
episode - 115/10000, reward_per_episode = 80
episode - 116/10000, reward_per_episode = 0
episode - 117/10000, reward_per_episode = 0
episode - 118/10000, reward_per_episode = 40
episode - 119/10000, reward_per_episode = -195
episode - 120/10000, reward_per_episode = 5
episode - 121/10000, reward_per_episode = -45
episode - 122/10000, reward_per_episode = -90
episode - 123/10000, reward_per_episode = -165
episode - 124/10000, reward_per_episode = -35
episode - 125/10000, reward_per_episode = 5
episode - 126/10000, reward_per_episode = 35
episode - 127/10000, reward_per_episode = 20
episode - 128/10000, reward_per_episode = 0
episode - 129/10000, reward_per_episode = 0
episode - 130/10000, reward_per_episode = -75
episode - 131/10000, reward_per_episode = 20
episode - 132/10000, reward_per_episode = 0
episode - 133/10000, reward_per_episode = 70
episode - 134/10000, reward_per_episode = -25
episode - 135/10000, reward_per_episode = -160
episode - 136/10000, reward_per_episode = -100
episode - 137/10000, reward_per_episode = 5
episode - 138/10000, reward_per_episode = 0
episode - 139/10000, reward_per_episode = -35
episode - 140/10000, reward_per_episode = -25
episode - 141/10000, reward_per_episode = -200
episode - 142/10000, reward_per_episode = -125
episode - 143/10000, reward_per_episode = -90
episode - 144/10000, reward_per_episode = 90
episode - 145/10000, reward_per_episode = 0
episode - 146/10000, reward_per_episode = -50
episode - 147/10000, reward_per_episode = -205
episode - 148/10000, reward_per_episode = -50
episode - 149/10000, reward_per_episode = -120
episode - 150/10000, reward_per_episode = 0
episode - 151/10000, reward_per_episode = 0
episode - 152/10000, reward_per_episode = -40
episode - 153/10000, reward_per_episode = -145
episode - 154/10000, reward_per_episode = -60
episode - 155/10000, reward_per_episode = -220
episode - 156/10000, reward_per_episode = -250
episode - 157/10000, reward_per_episode = -90
episode - 158/10000, reward_per_episode = 0
episode - 159/10000, reward_per_episode = -25
episode - 160/10000, reward_per_episode = -120
episode - 161/10000, reward_per_episode = 0
episode - 162/10000, reward_per_episode = 55
episode - 163/10000, reward_per_episode = 0
episode - 164/10000, reward_per_episode = -20
episode - 165/10000, reward_per_episode = -90
episode - 166/10000, reward_per_episode = -105
episode - 167/10000, reward_per_episode = -50
episode - 168/10000, reward_per_episode = 0
episode - 169/10000, reward_per_episode = 0
episode - 170/10000, reward_per_episode = 0
episode - 171/10000, reward_per_episode = -40
episode - 172/10000, reward_per_episode = -70
episode - 173/10000, reward_per_episode = -50
episode - 174/10000, reward_per_episode = -100
episode - 175/10000, reward_per_episode = -85
episode - 176/10000, reward_per_episode = -325
episode - 177/10000, reward_per_episode = -35
episode - 178/10000, reward_per_episode = -80
episode - 179/10000, reward_per_episode = -175
episode - 180/10000, reward_per_episode = -235
episode - 181/10000, reward_per_episode = -215
episode - 182/10000, reward_per_episode = -180
episode - 183/10000, reward_per_episode = 0
episode - 184/10000, reward_per_episode = 185
episode - 185/10000, reward_per_episode = 0
episode - 186/10000, reward_per_episode = -170
episode - 187/10000, reward_per_episode = -130
episode - 188/10000, reward_per_episode = -25
episode - 189/10000, reward_per_episode = 0
episode - 190/10000, reward_per_episode = -50
episode - 191/10000, reward_per_episode = -185
episode - 192/10000, reward_per_episode = 0
episode - 193/10000, reward_per_episode = -50
episode - 194/10000, reward_per_episode = -105
episode - 195/10000, reward_per_episode = 0
episode - 196/10000, reward_per_episode = 220
episode - 197/10000, reward_per_episode = 40
episode - 198/10000, reward_per_episode = -145
episode - 199/10000, reward_per_episode = -310
episode - 200/10000, reward_per_episode = -50
episode - 201/10000, reward_per_episode = -80
episode - 202/10000, reward_per_episode = 65
episode - 203/10000, reward_per_episode = -135
episode - 204/10000, reward_per_episode = -110
episode - 205/10000, reward_per_episode = -85
episode - 206/10000, reward_per_episode = 0
episode - 207/10000, reward_per_episode = 0
episode - 208/10000, reward_per_episode = -30
episode - 209/10000, reward_per_episode = -50
episode - 210/10000, reward_per_episode = -80
episode - 211/10000, reward_per_episode = 0
episode - 212/10000, reward_per_episode = -15
episode - 213/10000, reward_per_episode = -30
episode - 214/10000, reward_per_episode = 30
episode - 215/10000, reward_per_episode = 0
episode - 216/10000, reward_per_episode = -50
episode - 217/10000, reward_per_episode = -30
episode - 218/10000, reward_per_episode = -20
episode - 219/10000, reward_per_episode = -265
episode - 220/10000, reward_per_episode = -260
episode - 221/10000, reward_per_episode = -100
episode - 222/10000, reward_per_episode = 40
episode - 223/10000, reward_per_episode = -80
episode - 224/10000, reward_per_episode = -10
episode - 225/10000, reward_per_episode = -250
episode - 226/10000, reward_per_episode = 0
episode - 227/10000, reward_per_episode = -20
episode - 228/10000, reward_per_episode = -30
episode - 229/10000, reward_per_episode = 45
episode - 230/10000, reward_per_episode = -120
episode - 231/10000, reward_per_episode = -200
episode - 232/10000, reward_per_episode = -120
episode - 233/10000, reward_per_episode = 0
episode - 234/10000, reward_per_episode = 0
episode - 235/10000, reward_per_episode = 0
episode - 236/10000, reward_per_episode = -35
episode - 237/10000, reward_per_episode = 0
episode - 238/10000, reward_per_episode = -20
episode - 239/10000, reward_per_episode = -90
episode - 240/10000, reward_per_episode = -20
episode - 241/10000, reward_per_episode = 75
episode - 242/10000, reward_per_episode = -85
episode - 243/10000, reward_per_episode = -40
episode - 244/10000, reward_per_episode = -85
episode - 245/10000, reward_per_episode = -100
episode - 246/10000, reward_per_episode = -35
episode - 247/10000, reward_per_episode = -70
episode - 248/10000, reward_per_episode = -80
episode - 249/10000, reward_per_episode = 0
episode - 250/10000, reward_per_episode = -20
episode - 251/10000, reward_per_episode = 0
episode - 252/10000, reward_per_episode = 0
episode - 253/10000, reward_per_episode = 0
episode - 254/10000, reward_per_episode = -180
episode - 255/10000, reward_per_episode = 0
episode - 256/10000, reward_per_episode = 0
episode - 257/10000, reward_per_episode = -30
episode - 258/10000, reward_per_episode = -80
episode - 259/10000, reward_per_episode = -80
episode - 260/10000, reward_per_episode = -20
episode - 261/10000, reward_per_episode = -100
